label;image;mask;distraction;distraction_size;distraction_position;quality;width;invert_mask
1;DSO-1/splicing/splicing-21.png;DSO-1/masks/splicing-21.png;none;none;none;95;1536;True
1;DSO-1/splicing/splicing-71.png;DSO-1/masks/splicing-71.png;none;none;none;92;1536;True
1;DSO-1/splicing/splicing-07.png;DSO-1/masks/splicing-07.png;none;none;none;95;1536;True
1;DSO-1/splicing/splicing-57.png;DSO-1/masks/splicing-57.png;none;none;none;95;1536;True
1;DSO-1/splicing/splicing-83.png;DSO-1/masks/splicing-83.png;none;none;none;93;1536;True
1;DSO-1/splicing/splicing-45.png;DSO-1/masks/splicing-45.png;none;none;none;87;1536;True
1;DSO-1/splicing/splicing-06.png;DSO-1/masks/splicing-06.png;none;none;none;93;1536;True
1;DSO-1/splicing/splicing-92.png;DSO-1/masks/splicing-92.png;none;none;none;85;1536;True
1;DSO-1/splicing/splicing-69.png;DSO-1/masks/splicing-69.png;none;none;none;88;1536;True
1;DSO-1/splicing/splicing-27.png;DSO-1/masks/splicing-27.png;none;none;none;95;1536;True
1;DSO-1/splicing/splicing-28.png;DSO-1/masks/splicing-28.png;none;none;none;92;1536;True
1;DSO-1/splicing/splicing-41.png;DSO-1/masks/splicing-41.png;none;none;none;94;1536;True
1;DSO-1/splicing/splicing-34.png;DSO-1/masks/splicing-34.png;none;none;none;89;1536;True
1;DSO-1/splicing/splicing-52.png;DSO-1/masks/splicing-52.png;none;none;none;87;1536;True
1;DSO-1/splicing/splicing-12.png;DSO-1/masks/splicing-12.png;none;none;none;94;1536;True
1;DSO-1/splicing/splicing-23.png;DSO-1/masks/splicing-23.png;none;none;none;86;1536;True
1;DSO-1/splicing/splicing-22.png;DSO-1/masks/splicing-22.png;none;none;none;87;1536;True
1;DSO-1/splicing/splicing-31.png;DSO-1/masks/splicing-31.png;none;none;none;87;1536;True
1;DSO-1/splicing/splicing-36.png;DSO-1/masks/splicing-36.png;none;none;none;94;1536;True
1;DSO-1/splicing/splicing-15.png;DSO-1/masks/splicing-15.png;none;none;none;88;1536;True
1;DSO-1/splicing/splicing-46.png;DSO-1/masks/splicing-46.png;none;none;none;85;1536;True
1;DSO-1/splicing/splicing-42.png;DSO-1/masks/splicing-42.png;none;none;none;87;1536;True
1;DSO-1/splicing/splicing-50.png;DSO-1/masks/splicing-50.png;none;none;none;89;1536;True
1;DSO-1/splicing/splicing-47.png;DSO-1/masks/splicing-47.png;none;none;none;92;1536;True
1;DSO-1/splicing/splicing-38.png;DSO-1/masks/splicing-38.png;none;none;none;85;1536;True
1;DSO-1/splicing/splicing-44.png;DSO-1/masks/splicing-44.png;none;none;none;92;1536;True
1;DSO-1/splicing/splicing-02.png;DSO-1/masks/splicing-02.png;none;none;none;86;1536;True
1;DSO-1/splicing/splicing-76.png;DSO-1/masks/splicing-76.png;none;none;none;88;1536;True
1;DSO-1/splicing/splicing-67.png;DSO-1/masks/splicing-67.png;none;none;none;86;1536;True
1;DSO-1/splicing/splicing-84.png;DSO-1/masks/splicing-84.png;none;none;none;93;1536;True
1;DSO-1/splicing/splicing-96.png;DSO-1/masks/splicing-96.png;none;none;none;95;1536;True
1;DSO-1/splicing/splicing-72.png;DSO-1/masks/splicing-72.png;none;none;none;95;1536;True
1;DSO-1/splicing/splicing-70.png;DSO-1/masks/splicing-70.png;none;none;none;93;1536;True
