label;image;mask;distraction;distraction_size;distraction_position;quality;width;invert_mask
1;IMD2020/splicing/c979s43_0.jpg;IMD2020/masks/c979s43_0_mask.png;none;none;none;94;1536;False
1;IMD2020/splicing/c9o0hnh_0.jpg;IMD2020/masks/c9o0hnh_0_mask.png;none;none;none;88;1536;False
1;IMD2020/splicing/c9f0n0z_0.jpg;IMD2020/masks/c9f0n0z_0_mask.png;none;none;none;90;1536;False
1;IMD2020/splicing/c9pmrb5_0.jpg;IMD2020/masks/c9pmrb5_0_mask.png;none;none;none;89;1536;False
1;IMD2020/splicing/c8vi1sj_0.png;IMD2020/masks/c8vi1sj_0_mask.png;none;none;none;93;1536;False
1;IMD2020/splicing/c9j64u7_0.jpg;IMD2020/masks/c9j64u7_0_mask.png;none;none;none;88;1536;False
1;IMD2020/splicing/c9rci56_0.jpg;IMD2020/masks/c9rci56_0_mask.png;none;none;none;88;1536;False
1;IMD2020/splicing/c8ttxcu_0.jpg;IMD2020/masks/c8ttxcu_0_mask.png;none;none;none;87;1536;False
1;IMD2020/splicing/c94s1ue_0.jpg;IMD2020/masks/c94s1ue_0_mask.png;none;none;none;89;1536;False
1;IMD2020/splicing/c92hsr5_0.jpg;IMD2020/masks/c92hsr5_0_mask.png;none;none;none;94;1536;False
1;IMD2020/splicing/c95c3yu_0.png;IMD2020/masks/c95c3yu_0_mask.png;none;none;none;88;1536;False
1;IMD2020/splicing/c9ic90m_0.jpg;IMD2020/masks/c9ic90m_0_mask.png;none;none;none;90;1536;False
1;IMD2020/splicing/c9qhgpe_0.jpg;IMD2020/masks/c9qhgpe_0_mask.png;none;none;none;95;1536;False
1;IMD2020/splicing/c8zj217_0.jpg;IMD2020/masks/c8zj217_0_mask.png;none;none;none;94;1536;False
1;IMD2020/splicing/c9roi3w_0.jpg;IMD2020/masks/c9roi3w_0_mask.png;none;none;none;93;1536;False
1;IMD2020/splicing/c8v3tc5_0.png;IMD2020/masks/c8v3tc5_0_mask.png;none;none;none;85;1536;False
1;IMD2020/splicing/c9nvi4n_0.jpg;IMD2020/masks/c9nvi4n_0_mask.png;none;none;none;89;1536;False
1;IMD2020/splicing/c9k2t5d_0.jpg;IMD2020/masks/c9k2t5d_0_mask.png;none;none;none;90;1536;False
1;IMD2020/splicing/c9uanxz_0.jpg;IMD2020/masks/c9uanxz_0_mask.png;none;none;none;87;1536;False
1;IMD2020/splicing/c9u6xhp_0.jpg;IMD2020/masks/c9u6xhp_0_mask.png;none;none;none;90;1536;False
1;IMD2020/splicing/c90z7wb_0.png;IMD2020/masks/c90z7wb_0_mask.png;none;none;none;88;1536;False
1;IMD2020/splicing/c9wxubr_0.jpg;IMD2020/masks/c9wxubr_0_mask.png;none;none;none;90;1536;False
1;IMD2020/splicing/c9ved2o_0.png;IMD2020/masks/c9ved2o_0_mask.png;none;none;none;95;1536;False
