label;image;mask;distraction;distraction_size;distraction_position;quality;width;invert_mask
1;OpenForensics/splicing/d5c0b55fad.jpg;OpenForensics/masks/d5c0b55fad.png;sunrise.png;5.425860563795998;(12.032631610005373, 71.17530786048124);86;1536;False
1;OpenForensics/splicing/b50152681f.jpg;OpenForensics/masks/b50152681f.png;toekan.png;11.832382409587066;(1.9317549333128459, 12.269813750149794);90;1536;False
1;OpenForensics/splicing/895d865260.jpg;OpenForensics/masks/895d865260.png;A.png;11.372900882255069;(11.946024412109235, 78.49094765362207);94;1536;False
1;OpenForensics/splicing/2e5ea864b5.jpg;OpenForensics/masks/2e5ea864b5.png;A.png;7.216282565088947;(75.31482652216282, 5.631769618126925);94;1536;False
1;OpenForensics/splicing/c5ac29bafc.jpg;OpenForensics/masks/c5ac29bafc.png;company.png;11.705676650722836;(48.367078279400644, 20.556914113917045);93;1536;False
1;OpenForensics/splicing/fb99d41f51.jpg;OpenForensics/masks/fb99d41f51.png;toekan.png;4.2142450366342645;(32.590164683875244, 75.50542518582229);92;1536;False
1;OpenForensics/splicing/11a6b672a2.jpg;OpenForensics/masks/11a6b672a2.png;DMK.png;6.001958760333286;(68.24524111696446, 55.80315291510093);86;1536;False
1;OpenForensics/splicing/ecc3ed631c.jpg;OpenForensics/masks/ecc3ed631c.png;sunrise.png;4.329240746167446;(77.7350170583921, 21.549144842151623);89;1536;False
1;OpenForensics/splicing/5dde4e515c.jpg;OpenForensics/masks/5dde4e515c.png;snake.png;11.179254574078595;(69.06460483826328, 50.281582156373084);95;1536;False
1;OpenForensics/splicing/c922327e5f.jpg;OpenForensics/masks/c922327e5f.png;snake.png;8.040572354311053;(78.02582672060265, 97.34586546079733);92;1536;False
1;OpenForensics/splicing/55a79cfe07.jpg;OpenForensics/masks/55a79cfe07.png;company.png;11.729340299224454;(52.74988201357602, 51.147460880463015);86;1536;False
1;OpenForensics/splicing/e9140e9894.jpg;OpenForensics/masks/e9140e9894.png;hexagon.png;10.71246003399508;(9.341615776205769, 52.26159177987425);90;1536;False
1;OpenForensics/splicing/97908daf2d.jpg;OpenForensics/masks/97908daf2d.png;bird.png;11.682701824680414;(45.39104465176964, 6.595866582714538);89;1536;False
1;OpenForensics/splicing/162a9f41df.jpg;OpenForensics/masks/162a9f41df.png;company.png;6.176210418033018;(90.66259891012886, 87.30333902449675);95;1536;False
