label;image;mask;distraction;distraction_size;distraction_position;quality;width;invert_mask
1;VIPP/forgery/Forgery_final-copia-2.jpg;VIPP/masks/Forgery_final-copia-2.png;sunrise.png;19.50856258606055;(85.04481314878791, 0.12928308002932987);87;1536;False
1;VIPP/forgery/Forgery_final-8.jpg;VIPP/masks/Forgery_final-8.png;DMK.png;18.83772732186555;(94.93094110251087, 99.62781940486657);92;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-4.jpg;VIPP/masks/Forgery_JPGCin_image-4.png;snake.png;17.72550777948841;(78.08400026315552, 15.967768953956762);85;1536;False
1;VIPP/forgery/Forgery_JPGDisall_2.jpg;VIPP/masks/Forgery_JPGDisall_2.png;toekan.png;18.365799610096985;(25.928406804774195, 5.910884877569433);86;1536;False
1;VIPP/forgery/Forgery_JPGDisall_9.jpg;VIPP/masks/Forgery_JPGDisall_9.png;toekan.png;15.812372274032647;(40.60988695291275, 60.94150565440051);91;1536;False
1;VIPP/forgery/Forgery_JPGDisall_4.jpg;VIPP/masks/Forgery_JPGDisall_4.png;SH.png;13.08315549864156;(24.505988628667787, 20.683982838841132);88;1536;False
1;VIPP/forgery/Forgery_final-17.jpg;VIPP/masks/Forgery_final-17.png;snake.png;19.16930863243653;(47.403384221849706, 28.256935957497586);89;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-2.jpg;VIPP/masks/Forgery_JPGCin_image-2.png;bird.png;18.759943650015856;(65.51521494415273, 19.345367941158543);86;1536;False
1;VIPP/forgery/Forgery_JPGDisall_7.jpg;VIPP/masks/Forgery_JPGDisall_7.png;sunrise.png;15.608689338941943;(46.3338038759948, 18.08580226189742);93;1536;False
1;VIPP/forgery/Forgery_salotto.jpg;VIPP/masks/Forgery_salotto.png;snake.png;13.297478910747328;(55.233489946602674, 3.647717199661571);95;1536;False
1;VIPP/forgery/Forgery_JPGAllin_9.jpg;VIPP/masks/Forgery_JPGAllin_9.png;SH.png;21.854142022269283;(70.0173216783391, 47.50102971507877);93;1536;False
1;VIPP/forgery/Forgery_final-13.jpg;VIPP/masks/Forgery_final-13.png;hexagon.png;18.71000288689844;(46.6960557825699, 97.1998257798269);87;1536;False
1;VIPP/forgery/Forgery_DPP8_TIFF0382_90.jpg;VIPP/masks/Forgery_DPP8_TIFF0382_90.png;company.png;21.59298066184436;(37.33044294361676, 54.930134033964606);93;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-1.jpg;VIPP/masks/Forgery_JPGCin_image-1.png;A.png;22.382969700464205;(63.306300582749984, 6.43741953468453);85;1536;False
