label;image;mask;distraction;distraction_size;distraction_position;quality;width;invert_mask
1;VIPP/forgery/Forgery_final-copia-2.jpg;VIPP/masks/Forgery_final-copia-2.png;none;none;none;87;1536;False
1;VIPP/forgery/Forgery_final-8.jpg;VIPP/masks/Forgery_final-8.png;none;none;none;92;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-4.jpg;VIPP/masks/Forgery_JPGCin_image-4.png;none;none;none;85;1536;False
1;VIPP/forgery/Forgery_JPGDisall_2.jpg;VIPP/masks/Forgery_JPGDisall_2.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_JPGDisall_9.jpg;VIPP/masks/Forgery_JPGDisall_9.png;none;none;none;91;1536;False
1;VIPP/forgery/Forgery_JPGDisall_4.jpg;VIPP/masks/Forgery_JPGDisall_4.png;none;none;none;88;1536;False
1;VIPP/forgery/Forgery_final-17.jpg;VIPP/masks/Forgery_final-17.png;none;none;none;89;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-2.jpg;VIPP/masks/Forgery_JPGCin_image-2.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_JPGDisall_7.jpg;VIPP/masks/Forgery_JPGDisall_7.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_salotto.jpg;VIPP/masks/Forgery_salotto.png;none;none;none;95;1536;False
1;VIPP/forgery/Forgery_JPGAllin_9.jpg;VIPP/masks/Forgery_JPGAllin_9.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_final-13.jpg;VIPP/masks/Forgery_final-13.png;none;none;none;87;1536;False
1;VIPP/forgery/Forgery_DPP8_TIFF0382_90.jpg;VIPP/masks/Forgery_DPP8_TIFF0382_90.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-1.jpg;VIPP/masks/Forgery_JPGCin_image-1.png;none;none;none;85;1536;False
1;VIPP/forgery/Forgery_Fotomontaggio-02-copia.jpg;VIPP/masks/Forgery_Fotomontaggio-02-copia.png;none;none;none;88;1536;False
1;VIPP/forgery/Forgery_JPGAllin_4.jpg;VIPP/masks/Forgery_JPGAllin_4.png;none;none;none;95;1536;False
1;VIPP/forgery/Forgery_final-copia.jpg;VIPP/masks/Forgery_final-copia.png;none;none;none;92;1536;False
1;VIPP/forgery/Forgery_final-14.jpg;VIPP/masks/Forgery_final-14.png;none;none;none;94;1536;False
1;VIPP/forgery/Forgery_JPGDisall_8.jpg;VIPP/masks/Forgery_JPGDisall_8.png;none;none;none;89;1536;False
1;VIPP/forgery/Forgery_final-3.jpg;VIPP/masks/Forgery_final-3.png;none;none;none;87;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-3.jpg;VIPP/masks/Forgery_JPGCin_image-3.png;none;none;none;94;1536;False
1;VIPP/forgery/Forgery_JPGDisall_5.jpg;VIPP/masks/Forgery_JPGDisall_5.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_JPGAllin_7.jpg;VIPP/masks/Forgery_JPGAllin_7.png;none;none;none;87;1536;False
1;VIPP/forgery/Forgery_bullock.jpg;VIPP/masks/Forgery_bullock.png;none;none;none;87;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-6.jpg;VIPP/masks/Forgery_JPGCin_image-6.png;none;none;none;94;1536;False
1;VIPP/forgery/Forgery_JPGAllin_2.jpg;VIPP/masks/Forgery_JPGAllin_2.png;none;none;none;88;1536;False
1;VIPP/forgery/Forgery_Mcadams.jpg;VIPP/masks/Forgery_Mcadams.png;none;none;none;85;1536;False
1;VIPP/forgery/Forgery_JPGAllin_10.jpg;VIPP/masks/Forgery_JPGAllin_10.png;none;none;none;87;1536;False
1;VIPP/forgery/Forgery_mercedes.jpg;VIPP/masks/Forgery_mercedes.png;none;none;none;89;1536;False
1;VIPP/forgery/Forgery_keira.jpg;VIPP/masks/Forgery_keira.png;none;none;none;92;1536;False
1;VIPP/forgery/Forgery_Siena_DSC_0013_70.jpg;VIPP/masks/Forgery_Siena_DSC_0013_70.png;none;none;none;85;1536;False
1;VIPP/forgery/Forgery_JPGAllin_3.jpg;VIPP/masks/Forgery_JPGAllin_3.png;none;none;none;92;1536;False
1;VIPP/forgery/Forgery_DPP8_TIFF0393_75.jpg;VIPP/masks/Forgery_DPP8_TIFF0393_75.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-9.jpg;VIPP/masks/Forgery_JPGCin_image-9.png;none;none;none;88;1536;False
1;VIPP/forgery/Forgery_final-2.jpg;VIPP/masks/Forgery_final-2.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-7.jpg;VIPP/masks/Forgery_JPGCin_image-7.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_final-12.jpg;VIPP/masks/Forgery_final-12.png;none;none;none;95;1536;False
1;VIPP/forgery/Forgery_JPGAllin_5.jpg;VIPP/masks/Forgery_JPGAllin_5.png;none;none;none;95;1536;False
1;VIPP/forgery/Forgery_final-5.jpg;VIPP/masks/Forgery_final-5.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_Aguilera.jpg;VIPP/masks/Forgery_Aguilera.png;none;none;none;95;1536;False
1;VIPP/forgery/Forgery_JPGDisall_10.jpg;VIPP/masks/Forgery_JPGDisall_10.png;none;none;none;90;1536;False
1;VIPP/forgery/Forgery_final-10.jpg;VIPP/masks/Forgery_final-10.png;none;none;none;94;1536;False
1;VIPP/forgery/Forgery_final-9.jpg;VIPP/masks/Forgery_final-9.png;none;none;none;85;1536;False
1;VIPP/forgery/Forgery_JPGDisall_1.jpg;VIPP/masks/Forgery_JPGDisall_1.png;none;none;none;94;1536;False
1;VIPP/forgery/Forgery_pranzo.jpg;VIPP/masks/Forgery_pranzo.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_JPGDisall_3.jpg;VIPP/masks/Forgery_JPGDisall_3.png;none;none;none;94;1536;False
1;VIPP/forgery/Forgery_JPGDisall_6.jpg;VIPP/masks/Forgery_JPGDisall_6.png;none;none;none;95;1536;False
1;VIPP/forgery/Forgery_final-4.jpg;VIPP/masks/Forgery_final-4.png;none;none;none;94;1536;False
1;VIPP/forgery/Forgery_DSC_7745_edited.jpg;VIPP/masks/Forgery_DSC_7745_edited.png;none;none;none;91;1536;False
1;VIPP/forgery/Forgery_final-6.jpg;VIPP/masks/Forgery_final-6.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_DPP8_TIFF0396_final.jpg;VIPP/masks/Forgery_DPP8_TIFF0396_final.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_final.jpg;VIPP/masks/Forgery_final.png;none;none;none;92;1536;False
1;VIPP/forgery/Forgery_JPGAllin_6.jpg;VIPP/masks/Forgery_JPGAllin_6.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-10.jpg;VIPP/masks/Forgery_JPGCin_image-10.png;none;none;none;89;1536;False
1;VIPP/forgery/Forgery_final-11.jpg;VIPP/masks/Forgery_final-11.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_JPGAllin_1.jpg;VIPP/masks/Forgery_JPGAllin_1.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_final-7.jpg;VIPP/masks/Forgery_final-7.png;none;none;none;88;1536;False
1;VIPP/forgery/Forgery_final-15.jpg;VIPP/masks/Forgery_final-15.png;none;none;none;93;1536;False
1;VIPP/forgery/Forgery_JPGAllin_8.jpg;VIPP/masks/Forgery_JPGAllin_8.png;none;none;none;86;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-5.jpg;VIPP/masks/Forgery_JPGCin_image-5.png;none;none;none;87;1536;False
1;VIPP/forgery/Forgery_coppia.jpg;VIPP/masks/Forgery_coppia.png;none;none;none;91;1536;False
1;VIPP/forgery/Forgery_final-16.jpg;VIPP/masks/Forgery_final-16.png;none;none;none;93;1536;False
