label;image;mask;distraction;distraction_size;distraction_position;quality;width;invert_mask
1;VIPP/forgery/Forgery_final-copia-2.jpg;VIPP/masks/Forgery_final-copia-2.png;sunrise.png;9.37004886075376;(85.04481314878791, 0.12928308002932987);87;1536;False
1;VIPP/forgery/Forgery_final-8.jpg;VIPP/masks/Forgery_final-8.png;DMK.png;10.090910386572762;(94.93094110251087, 99.62781940486657);92;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-4.jpg;VIPP/masks/Forgery_JPGCin_image-4.png;snake.png;9.120980526148777;(78.08400026315552, 15.967768953956762);85;1536;False
1;VIPP/forgery/Forgery_JPGDisall_2.jpg;VIPP/masks/Forgery_JPGDisall_2.png;toekan.png;6.872906187647557;(25.928406804774195, 5.910884877569433);86;1536;False
1;VIPP/forgery/Forgery_JPGDisall_9.jpg;VIPP/masks/Forgery_JPGDisall_9.png;toekan.png;9.068168141599124;(40.60988695291275, 60.94150565440051);91;1536;False
1;VIPP/forgery/Forgery_JPGDisall_4.jpg;VIPP/masks/Forgery_JPGDisall_4.png;SH.png;4.220961889275125;(24.505988628667787, 20.683982838841132);88;1536;False
1;VIPP/forgery/Forgery_final-17.jpg;VIPP/masks/Forgery_final-17.png;snake.png;8.549154760907085;(47.403384221849706, 28.256935957497586);89;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-2.jpg;VIPP/masks/Forgery_JPGCin_image-2.png;bird.png;7.434138672488165;(65.51521494415273, 19.345367941158543);86;1536;False
1;VIPP/forgery/Forgery_JPGDisall_7.jpg;VIPP/masks/Forgery_JPGDisall_7.png;sunrise.png;8.057394691528252;(46.3338038759948, 18.08580226189742);93;1536;False
1;VIPP/forgery/Forgery_salotto.jpg;VIPP/masks/Forgery_salotto.png;snake.png;5.974078134099437;(55.233489946602674, 3.647717199661571);95;1536;False
1;VIPP/forgery/Forgery_JPGAllin_9.jpg;VIPP/masks/Forgery_JPGAllin_9.png;SH.png;7.870960190653851;(70.0173216783391, 47.50102971507877);93;1536;False
1;VIPP/forgery/Forgery_final-13.jpg;VIPP/masks/Forgery_final-13.png;hexagon.png;8.717484349976953;(46.6960557825699, 97.1998257798269);87;1536;False
1;VIPP/forgery/Forgery_DPP8_TIFF0382_90.jpg;VIPP/masks/Forgery_DPP8_TIFF0382_90.png;company.png;11.301768506896163;(37.33044294361676, 54.930134033964606);93;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-1.jpg;VIPP/masks/Forgery_JPGCin_image-1.png;A.png;8.893624131660825;(63.306300582749984, 6.43741953468453);85;1536;False
1;VIPP/forgery/Forgery_Fotomontaggio-02-copia.jpg;VIPP/masks/Forgery_Fotomontaggio-02-copia.png;DMK.png;6.218884581003793;(19.692133653350496, 59.58658873868694);88;1536;False
1;VIPP/forgery/Forgery_JPGAllin_4.jpg;VIPP/masks/Forgery_JPGAllin_4.png;A.png;10.23169446988311;(15.07112820316271, 17.258456620054442);95;1536;False
1;VIPP/forgery/Forgery_final-copia.jpg;VIPP/masks/Forgery_final-copia.png;DMK.png;4.649421568813124;(13.886059451289434, 78.16887902370749);92;1536;False
1;VIPP/forgery/Forgery_final-14.jpg;VIPP/masks/Forgery_final-14.png;toekan.png;7.075802806867881;(48.70864955780528, 76.50773627350496);94;1536;False
1;VIPP/forgery/Forgery_JPGDisall_8.jpg;VIPP/masks/Forgery_JPGDisall_8.png;hexagon.png;4.8788692526093005;(13.77483764835593, 60.29655420763312);89;1536;False
1;VIPP/forgery/Forgery_final-3.jpg;VIPP/masks/Forgery_final-3.png;A.png;11.356943858316026;(63.551175465867956, 78.09669389257175);87;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-3.jpg;VIPP/masks/Forgery_JPGCin_image-3.png;snake.png;8.944657021887554;(46.88747766949094, 31.900106572650543);94;1536;False
1;VIPP/forgery/Forgery_JPGDisall_5.jpg;VIPP/masks/Forgery_JPGDisall_5.png;DMK.png;8.247225082024379;(95.67794249228776, 87.7274744120334);86;1536;False
1;VIPP/forgery/Forgery_JPGAllin_7.jpg;VIPP/masks/Forgery_JPGAllin_7.png;company.png;8.798745834517907;(43.956557544745955, 23.27264221813565);87;1536;False
1;VIPP/forgery/Forgery_bullock.jpg;VIPP/masks/Forgery_bullock.png;toekan.png;7.768583100574754;(38.46364094065954, 59.77061524035656);87;1536;False
1;VIPP/forgery/Forgery_JPGCin_image-6.jpg;VIPP/masks/Forgery_JPGCin_image-6.png;company.png;5.045697767136999;(59.26275436987123, 95.95307860822997);94;1536;False
1;VIPP/forgery/Forgery_JPGAllin_2.jpg;VIPP/masks/Forgery_JPGAllin_2.png;toekan.png;4.731013697880951;(44.138581267654494, 43.569622623883966);88;1536;False
